9,9,9,0,0,0,0,0
16,16,16,0,0,0,0,0
25,25,25,0,0,0,0,0
36,36,36,0,0,0,0,0
77,77,77,0,0,0,0,0
112,112,112,0,0,0,0,0
153,153,153,0,0,0,0,0
200,200,200,0,0,0,0,0
253,253,253,0,0,0,0,0
320,320,320,0,0,0,0,0
385,385,385,0,0,0,0,0
490,490,490,0,0,0,0,0
585,585,585,0,0,0,0,0
700,700,700,0,0,0,0,0
830,830,830,0,0,0,0,0
970,970,970,0,0,0,0,0
1120,1120,1120,0,0,0,0,0
1260,1260,1260,0,0,0,0,0
1420,1420,1420,0,0,0,0,0
1620,1620,1620,0,0,0,0,0
1860,1860,1860,0,0,0,0,0
4120,4120,4120,0,0,0,0,0
2240,2240,2240,0,0,0,0,0
2504,2504,2504,0,0,0,0,0
2950,2950,2950,0,0,0,0,0
3426,3426,3426,0,0,0,0,0
3934,3934,3934,0,0,0,0,0
4474,4474,4474,0,0,0,0,0
6889,6889,6889,0,0,0,0,0
12000,12000,12000,0,0,0,0,0
9174,9174,9174,0,0,0,0,0
10425,10425,10425,0,0,0,0,0
11748,11748,11748,0,0,0,0,0
13967,13967,13967,0,0,0,0,0
15775,15775,15775,0,0,0,0,0
17678,17678,17678,0,0,0,0,0
19677,19677,19677,0,0,0,0,0
21773,21773,21773,0,0,0,0,0
30543,30543,30543,0,0,0,0,0
34212,34212,34212,0,0,0,0,0
38065,38065,38065,0,0,0,0,0
42102,42102,42102,0,0,0,0,0
46323,46323,46323,0,0,0,0,0
53026,53026,53026,0,0,0,0,0
58419,58419,58419,0,0,0,0,0
64041,64041,64041,0,0,0,0,0
69892,69892,69892,0,0,0,0,0
75973,75973,75973,0,0,0,0,0
102468,102468,102468,0,0,0,0,0
115254,115254,115254,0,0,0,0,0
128692,128692,128692,0,0,0,0,0
142784,142784,142784,0,0,0,0,0
111300,111300,111300,0,0,0,0,0
178184,178184,178184,0,0,0,0,0
196300,196300,196300,0,0,0,0,0
215198,215198,215198,0,0,0,0,0
234879,234879,234879,0,0,0,0,0
255341,255341,255341,0,0,0,0,0
330188,330188,330188,0,0,0,0,0
365914,365914,365914,0,0,0,0,0
403224,403224,403224,0,0,0,0,0
442116,442116,442116,0,0,0,0,0
482590,482590,482590,0,0,0,0,0
536948,536948,536948,0,0,0,0,0
585191,585191,585191,0,0,0,0,0
635278,635278,635278,0,0,0,0,0
687211,687211,687211,0,0,0,0,0
740988,740988,740988,0,0,0,0,0
925400,925400,925400,0,0,0,0,0
1473746,1473746,1473746,0,0,0,0,0
1594058,1594058,1594058,0,0,0,0,0
1718928,1718928,1718928,0,0,0,0,0
1848355,1848355,1848355,0,0,0,0,0
1982340,1982340,1982340,0,0,0,0,0
2230113,2230113,2230113,0,0,0,0,0
2386162,2386162,2386162,0,0,0,0,0
2547417,2547417,2547417,0,0,0,0,0
2713878,2713878,2713878,0,0,0,0,0
3206160,3206160,3206160,0,0,0,0,0
3681024,3681024,3681024,0,0,0,0,0
4022472,4022472,4022472,0,0,0,0,0
4377024,4377024,4377024,0,0,0,0,0
4744680,4744680,4744680,0,0,0,0,0
5125440,5125440,5125440,0,0,0,0,0
5767272,5767272,5767272,0,0,0,0,0
6204000,6204000,6204000,0,0,0,0,0
6655464,6655464,6655464,0,0,0,0,0
7121664,7121664,7121664,0,0,0,0,0
7602600,7602600,7602600,0,0,0,0,0
9738720,9738720,9738720,0,0,0,0,0
11649960,11649960,11649960,0,0,0,0,0
13643520,13643520,13643520,0,0,0,0,0
18339300,18339300,18339300,0,0,0,0,0
23836800,23836800,23836800,0,0,0,0,0
35658000,35658000,35658000,0,0,0,0,0
48687000,48687000,48687000,0,0,0,0,0
58135000,58135000,58135000,0,0,0,0,0
99999999,99999999,99999999,0,0,0,0,0
0,0,0,0,0,0,0,0
